127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/css/calendar.css, HTTP/1.0, 200, 0.001174
127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/css/web2py-bootstrap4.css, HTTP/1.0, 200, 0.000892
127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/js/bootstrap.bundle.min.js, HTTP/1.0, 200, 0.000682
127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/js/calendar.js, HTTP/1.0, 200, 0.000757
127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/js/web2py.js, HTTP/1.0, 200, 0.000833
127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/js/web2py-bootstrap4.js, HTTP/1.0, 200, 0.001442
127.0.0.1, 2020-07-06 23:39:07, GET, /favicon.ico, HTTP/1.0, 400, 0.000256
127.0.0.1, 2020-07-06 23:39:13, GET, /test/default/index, HTTP/1.0, 200, 0.028064
127.0.0.1, 2020-07-06 23:39:13, GET, /test/static/css/bootstrap.min.css, HTTP/1.0, 200, 0.001815
127.0.0.1, 2020-07-06 23:39:13, GET, /test/static/css/web2py-bootstrap4.css, HTTP/1.0, 200, 0.001244
127.0.0.1, 2020-07-06 23:39:13, GET, /test/static/css/calendar.css, HTTP/1.0, 200, 0.002034
127.0.0.1, 2020-07-06 23:39:22, GET, /test/appadmin/index, HTTP/1.0, 200, 3.351994
127.0.0.1, 2020-07-06 23:39:22, GET, /test/static/css/bootstrap.min.css, HTTP/1.0, 200, 0.001210
127.0.0.1, 2020-07-06 23:39:22, GET, /test/static/css/web2py-bootstrap4.css, HTTP/1.0, 200, 0.001059
127.0.0.1, 2020-07-06 23:39:22, GET, /test/static/css/calendar.css, HTTP/1.0, 200, 0.000773
127.0.0.1, 2020-07-06 23:39:22, GET, /test/static/images/favicon.ico, HTTP/1.0, 200, 0.002341
127.0.0.1, 2020-07-06 23:39:22, GET, /test/appadmin/hooks, HTTP/1.0, 200, 0.495451
127.0.0.1, 2020-07-06 23:39:25, GET, /test/appadmin/insert/db/auth_user, HTTP/1.0, 200, 0.064520
127.0.0.1, 2020-07-06 23:39:47, POST, /test/appadmin/insert/db/auth_user, HTTP/1.0, 200, 0.073119
127.0.0.1, 2020-07-06 23:39:51, GET, /test/appadmin/index, HTTP/1.0, 200, 0.046642
127.0.0.1, 2020-07-06 23:39:51, GET, /test/appadmin/hooks, HTTP/1.0, 200, 0.076362
127.0.0.1, 2020-07-06 23:39:52, GET, /test/appadmin/state, HTTP/1.0, 200, 0.084709
127.0.0.1, 2020-07-06 23:39:53, GET, /test/appadmin/ccache, HTTP/1.0, 200, 0.187292
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/default/design/test, HTTP/1.0, 200, 0.101546
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.0, 200, 0.001020
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.0, 200, 0.000738
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.0, 200, 0.000610
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.0, 200, 0.000416
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.0, 200, 0.004064
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.0, 200, 0.001385
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.0, 200, 0.000714
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.0, 200, 0.000611
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.0, 200, 0.000731
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.0, 200, 0.000739
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.0, 200, 0.000652
127.0.0.1, 2020-07-06 23:39:55, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.0, 200, 0.001107
